,Project With Mock,Project Without Mock,,,,,,,,,,,,,,,,,,,,,
Medium,122438,29240.5,,,,,,,,,,,,,,,,,,,,,
Max,1574022,693496,,,,,,,,,,,,,,,,,,,,,
Min,3702,993,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File,,,Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ant,14870,115,96,1324,146015,412,34589,0,0,4,,,abdera,1500,16,12,679,60506,97,11036,5,1,0
ant-antlibs-antunit,234,15,12,37,3002,15,1157,0,0,0,,,accumulo,11198,179,39,2190,395903,746,103756,112,2,3
ant-antlibs-compress,322,5,13,104,5129,1,20,0,0,0,,,ace,1603,15,0,529,58600,128,17867,16,2,9
ant-antlibs-dotnet,85,3,4,22,2779,1,5,0,0,0,,,activemq,11049,160,74,4323,422294,2106,216057,20,3,0
ant-antlibs-vss,15,5,1,19,993,1,34,0,0,0,,,airavata,9497,85,18,1067,485070,109,10550,3,1,0
ant-ivy,3030,36,20,661,76877,165,25338,0,0,0,,,ambari,24590,232,79,3306,424392,947,185955,429,4,5
ant-ivyde,847,16,9,210,17094,19,338,0,0,0,,,any23,1997,44,25,438,28904,99,8507,5,1,0
chainsaw,934,9,35,189,26358,8,621,0,0,0,,,apex-core,6122,82,21,485,75427,139,24966,9,3,0
commons-bcel,1753,37,25,516,41342,87,4178,0,0,0,,,archiva,8670,48,65,968,120362,283,47520,41,3,4
commons-beanutils,1408,54,43,279,33536,161,22573,0,0,0,,,aries,5817,56,485,2065,164201,757,58504,52,3,0
commons-bsf,455,21,9,76,7396,12,1038,0,0,0,,,avro,2929,283,85,678,81025,305,45192,6,1,0
commons-cli,1119,59,21,52,6235,29,4084,0,0,0,,,axis-axis2-java-core,13844,84,45,4588,552062,2827,346496,8,3,0
commons-codec,2164,51,39,147,24515,74,14882,0,0,0,,,beam,33462,1035,125,5008,647216,1956,329409,287,6,4
commons-crypto,792,38,5,91,6568,43,2958,0,0,0,,,bookkeeper,2553,160,40,2180,246558,637,106551,159,3,8
commons-daemon,1300,33,61,17,1964,1,244,0,0,0,,,brooklyn,221,33,13,3279,352360,1414,159650,30,2,1
commons-digester,2195,34,45,315,21561,107,9345,0,0,0,,,bval,1103,15,12,346,23785,112,5545,1,1,0
commons-exec,700,27,19,52,3587,21,1778,0,0,0,,,calcite,4759,372,66,2233,596695,373,206313,1,1,0
commons-fileupload,1197,52,38,72,5112,21,2573,0,0,0,,,camel,53496,1079,185,20760,1574022,11064,624059,447,10,27
commons-functor,862,21,2,396,21688,203,14402,0,0,0,,,carbondata,4916,261,36,1149,149238,138,24823,36,1,0
commons-geometry,508,16,7,446,65160,169,44123,0,0,0,,,cayenne,6733,66,45,4178,294111,1715,116051,118,3,2
commons-imaging,1535,40,18,563,44627,188,11167,0,0,0,,,chemistry-opencmis,2234,16,37,1267,142441,181,30008,4,1,1
commons-jci,428,21,7,66,4383,16,1342,0,0,0,,,clerezza,2324,27,20,243,14982,50,4909,1,1,0
commons-jcs,1777,30,45,569,53431,176,15585,0,0,0,,,cloudstack,34625,585,147,5825,683694,682,94784,355,7,3
commons-jelly,1945,44,59,552,30189,133,6273,0,0,0,,,cocoon,13161,73,75,2535,196085,168,9788,5,2,0
commons-jexl,1927,39,56,184,31667,73,16884,0,0,0,,,commons-chain,682,30,10,153,9132,52,4498,1,1,0
commons-logging,1017,41,41,66,5690,52,2916,0,0,0,,,commons-collections,3639,93,46,590,67625,239,37614,4,1,2
commons-math,6934,79,61,1154,148247,447,76721,0,0,0,,,commons-compress,3404,81,46,548,72975,189,28241,1,1,0
commons-net,2500,41,69,275,28292,62,8125,0,0,0,,,commons-configuration,3424,42,68,462,51646,201,31143,71,2,1
commons-numbers,1176,22,2,157,24342,68,13969,0,0,0,,,commons-csv,1720,47,21,42,8314,31,6216,1,1,0
commons-ognl,756,18,0,305,20427,137,7096,0,0,0,,,commons-dbcp,2511,63,60,136,32405,67,17604,5,1,0
commons-pool,2387,63,161,97,15250,45,9276,0,0,0,,,commons-dbutils,802,36,27,96,7045,46,3934,20,1,0
commons-proxy,591,14,8,104,6039,44,2454,0,0,0,,,commons-email,941,36,37,49,6723,26,3953,3,2,0
commons-rdf,1303,17,8,165,8913,58,3828,0,0,0,,,commons-io,3406,104,58,392,42344,199,27197,7,1,0
commons-rng,1495,17,19,360,37429,132,15571,0,0,0,,,commons-jxpath,601,27,16,232,24915,66,6223,1,1,0
commons-scxml,1163,19,20,175,13939,60,4687,0,0,0,,,commons-lang,6478,210,85,425,85557,198,55633,5,1,0
commons-statistics,400,10,0,119,11041,42,4787,0,0,0,,,commons-text,1527,55,17,194,26594,92,16208,4,1,0
commons-validator,1548,49,44,150,16660,84,8917,0,0,0,,,commons-vfs,3247,55,37,577,35839,192,12706,1,1,0
commons-weaver,536,11,16,115,5803,27,1341,0,0,0,,,creadur-rat,1210,23,18,172,9774,61,4250,2,1,7
creadur-tentacles,167,8,0,32,1549,2,34,0,0,0,,,crunch,1093,56,23,730,55388,139,9280,23,1,0
ctakes,2502,32,32,1580,164988,82,5603,0,0,0,,,curator,2739,132,110,691,59989,174,28951,8,1,0
daffodil,3631,61,58,48,1925,38,1835,0,0,0,,,cxf,16631,227,169,7528,694599,3537,313613,202,6,1
derby,8269,37,0,2864,693496,1033,335457,0,0,0,,,deltaspike,2466,72,37,1832,84628,1051,41248,2,1,2
directory-fortress-commander,415,6,23,94,17009,3,883,0,0,0,,,directmemory,642,10,2,169,12870,62,5260,1,1,0
directory-fortress-core,1887,16,24,325,77118,80,39675,0,0,0,,,directory-kerby,1805,33,8,1043,64261,164,10727,1,1,0
directory-fortress-enmasse,405,8,24,20,5383,2,193,0,0,0,,,directory-ldap-api,5897,24,73,1503,194727,365,78365,1,1,0
directory-server,9842,40,51,1757,219495,473,103192,0,0,0,,,empire-db,1237,13,43,489,56215,29,2419,2,1,0
etch,549,13,8,422,56337,156,27254,0,0,0,,,falcon,2227,59,31,850,122438,293,54341,25,1,0
forrest,9184,40,30,252,18173,12,668,0,0,0,,,flink,28863,1408,126,12369,1401026,4742,686472,228,6,1
ftpserver,977,13,12,329,20716,121,7699,0,0,0,,,flume,1818,73,23,743,97434,282,44187,47,2,0
gora,1387,70,17,617,49592,193,10778,0,0,0,,,fluo,1002,34,11,291,27642,85,10021,1,1,0
guacamole-client,6063,94,25,729,31324,13,839,0,0,0,,,fluo-recipes,194,4,5,96,7031,39,3104,1,1,0
hama,1595,25,33,427,46103,73,6964,0,0,0,,,giraph,1136,47,11,1516,94617,204,17414,18,1,1
jmeter,17687,90,49,1393,147379,353,37550,0,0,0,,,groovy,19024,425,219,1771,198693,340,13668,3,1,0
lens,2449,66,13,886,102920,228,39868,0,0,0,,,harmony,956,24,1,7607,1124801,3586,564366,1,1,0
marmotta,2276,20,9,1544,110258,229,17043,0,0,0,,,hbase,19018,577,584,4605,823375,2133,357991,233,1,5
maven-doxia,1748,45,29,308,51302,85,16378,0,0,0,,,helix,4148,75,33,1358,168870,558,82398,48,1,3
myfaces-tobago,11802,27,127,809,47491,100,6343,0,0,0,,,hive,15985,455,56,7551,1345649,1768,357956,200,3,1
nutch,3229,85,53,602,57709,121,10776,0,0,0,,,hop,3585,43,13,3616,627137,930,98017,265,2,13
openwebbeans,4023,33,66,1549,82558,1039,36235,0,0,12,,,httpcomponents-client,3339,81,127,699,71708,245,36020,49,1,0
pivot,4660,15,20,934,106473,150,9623,0,0,0,,,httpcomponents-core,3651,71,136,915,79543,281,37677,26,1,0
qpid,14182,51,28,118,14015,15,2146,0,0,0,,,hudi,2474,279,62,1680,175858,511,72798,47,2,0
river-container,36,2,0,143,10545,32,1668,0,0,0,,,ignite,27942,446,88,11364,1218289,4942,592306,42,2,1
roller,4708,29,22,612,54143,69,6596,0,0,0,,,iotdb,5845,249,21,2373,328364,680,145977,16,2,0
sandesha,884,20,8,227,27366,57,5372,0,0,0,,,isis,19101,67,145,5533,267719,1133,63446,107,3,31
santuario-xml-security-java,1267,9,72,595,77157,213,38116,0,0,1,,,jackrabbit,8941,51,263,3129,343464,1034,108905,4,2,0
sis,7715,20,5,2750,309659,736,77641,0,0,21,,,jclouds,10781,310,102,5846,399303,2212,169298,304,3,158
stanbol,3404,25,24,1661,160754,259,30339,0,0,20,,,jena,9739,102,65,5991,572954,1715,181769,4,1,3
synapse,4242,49,14,1294,103920,317,16820,0,0,1,,,jspwiki,9103,27,90,737,58599,170,17505,12,2,0
tuscany-sdo,530,15,10,286,51251,112,13775,0,0,0,,,karaf,8887,208,98,1594,126859,313,23436,40,1,6
uima-uimaj,7383,22,70,1865,226928,370,51756,0,0,0,,,knox,2585,75,79,1526,136680,473,69690,146,1,12
velocity-engine,4390,22,53,396,33922,174,12672,0,0,0,,,logging-log4j2,11984,160,72,2386,185626,1000,75325,41,3,6
vxquery,1156,15,8,756,49385,50,3442,0,0,0,,,mahout,4506,66,34,1245,111437,313,29155,21,2,0
,,,,,,,,,,,,,manifoldcf,4925,22,181,1355,227601,258,18799,10,1,0
,,,,,,,,,,,,,maven,11495,198,63,1062,93640,267,23979,15,1,0
,,,,,,,,,,,,,metamodel,893,54,41,813,62028,227,23594,12,1,0
,,,,,,,,,,,,,mina,2401,29,65,319,23633,109,13110,11,1,0
,,,,,,,,,,,,,mina-sshd,2485,69,34,1310,128164,315,38273,36,1,0
,,,,,,,,,,,,,mina-vysper,773,12,2,775,47029,264,18072,53,2,1
,,,,,,,,,,,,,mrunit,234,17,8,79,10555,40,7264,5,2,0
,,,,,,,,,,,,,myfaces,5644,68,106,1880,210534,555,63863,35,2,3
,,,,,,,,,,,,,ode,3823,28,27,1237,89695,198,14490,3,1,3
,,,,,,,,,,,,,ofbiz-framework,28368,78,12,1145,256872,92,10983,11,3,0
,,,,,,,,,,,,,olingo-odata4,1905,43,32,1858,189800,519,82724,77,1,0
,,,,,,,,,,,,,oltu,860,9,14,247,11945,76,5282,17,2,0
,,,,,,,,,,,,,oodt,2251,48,33,1306,106055,252,24221,6,2,18
,,,,,,,,,,,,,oozie,2377,35,41,1390,192464,557,94443,39,2,2
,,,,,,,,,,,,,openjpa,5249,43,39,4703,460247,3108,214049,6,2,0
,,,,,,,,,,,,,openmeetings,3414,19,65,619,59588,95,6718,8,1,2
,,,,,,,,,,,,,opennlp,1900,60,39,979,76517,238,16034,9,2,4
,,,,,,,,,,,,,orc,1122,126,51,376,68792,115,29372,7,1,3
,,,,,,,,,,,,,pdfbox,10691,20,60,1379,166397,227,26131,1,1,1
,,,,,,,,,,,,,phoenix,3612,163,238,2113,358591,311,52777,36,1,2
,,,,,,,,,,,,,pig,3701,44,59,1791,270126,518,113899,6,1,2
,,,,,,,,,,,,,plc4x,5227,77,19,1279,96251,290,21486,43,1,15
,,,,,,,,,,,,,poi,11856,44,96,3620,413604,1097,135770,5,1,1
,,,,,,,,,,,,,polygene-java,5820,49,25,2795,161806,733,54036,2,2,12
,,,,,,,,,,,,,reef,3875,94,24,2233,95431,423,22183,6,1,3
,,,,,,,,,,,,,servicemix,407,21,51,129,3702,14,620,1,1,1
,,,,,,,,,,,,,shindig,4786,42,27,1019,105430,362,52150,109,2,2
,,,,,,,,,,,,,shiro,2238,83,35,738,36729,164,9474,49,3,0
,,,,,,,,,,,,,skywalking,6937,450,51,1540,81959,271,19878,61,2,27
,,,,,,,,,,,,,solr,35740,358,420,4121,676763,1505,355815,48,5,32
,,,,,,,,,,,,,spark,32506,2488,143,1067,85204,273,32296,23,1,0
,,,,,,,,,,,,,sqoop,969,38,29,719,84888,368,42514,28,1,1
,,,,,,,,,,,,,storm,10478,502,48,2434,300630,466,49043,97,3,22
,,,,,,,,,,,,,stratos,8951,86,47,1438,119250,140,17213,12,3,2
,,,,,,,,,,,,,struts,6218,109,130,2070,185234,686,72953,188,6,10
,,,,,,,,,,,,,syncope,7661,60,105,2788,220450,306,39653,34,3,0
,,,,,,,,,,,,,tajo,2275,53,15,1860,224332,307,51665,2,1,9
,,,,,,,,,,,,,tapestry-5,5623,50,146,3277,168138,1353,53494,25,1,0
,,,,,,,,,,,,,tez,2879,69,42,1153,194055,295,86839,104,1,6
,,,,,,,,,,,,,thrift,6480,528,24,279,24453,89,8974,3,1,0
,,,,,,,,,,,,,tika,5690,146,64,1535,150533,418,42579,3,1,15
,,,,,,,,,,,,,tiles,1465,16,27,291,15768,121,9788,67,1,1
,,,,,,,,,,,,,tomcat,23949,110,314,2560,356088,674,88619,11,1,0
,,,,,,,,,,,,,tomee,14036,149,48,6409,538352,2410,166568,9,4,4
,,,,,,,,,,,,,turbine-core,2090,31,35,377,29590,92,6260,20,1,0
,,,,,,,,,,,,,tuscany-sca-2.x,16253,35,33,4064,219818,2035,78429,1,1,0
,,,,,,,,,,,,,whirr,569,16,13,275,17976,106,7207,11,1,0
,,,,,,,,,,,,,ws-axiom,4684,35,67,3510,136617,2749,104633,10,2,0
,,,,,,,,,,,,,xmlgraphics-fop,8396,44,45,2052,216944,421,40206,68,1,3
